Date,Symbol,Open,High,Low,Last,Close
2021-01-21,ABB,1403.5,1408.75,1372,1380,1377.3
2021-01-22,ABB,1380,1405,1367,1390,1377.85
2021-01-25,ABB,1391.4,1391.4,1349.75,1353,1354.8
2021-01-27,ABB,1350.05,1399.9,1346,1385.25,1388.8
2021-01-28,ABB,1374,1419.45,1344.95,1351.6,1354.8
2021-01-29,ABB,1365.4,1405,1364.3,1387.1,1388.3
2021-02-01,ABB,1388.3,1398.55,1357.15,1390,1382.95
2021-02-02,ABB,1389.9,1507.35,1389.9,1447,1445.4
2021-02-03,ABB,1456.7,1465,1421,1455,1447.45
2021-02-04,ABB,1448,1534,1443,1515.6,1518.05
2021-02-05,ABB,1518,1523.85,1481.6,1491.9,1495.3
2021-02-08,ABB,1496,1504.75,1475.05,1485.05,1481.95
2021-02-09,ABB,1493.7,1499,1439.2,1453,1458.65
2021-02-10,ABB,1462,1487.45,1430.1,1445,1445
2021-02-11,ABB,1445,1460,1405,1416,1423.35
2021-02-12,ABB,1429,1480,1425.6,1471.9,1466.85
2021-02-15,ABB,1475,1503.75,1465,1473.95,1474.15
2021-02-16,ABB,1480.8,1515,1474,1494.45,1500.5
2021-02-17,ABB,1480,1504.75,1480,1501,1498.95
2021-02-18,ABB,1509.8,1570,1502,1550,1532.85
2021-02-19,ABB,1542,1635,1510,1518,1521.6
2021-02-22,ABB,1521.6,1529.95,1430,1490,1456.4
2021-02-23,ABB,1477.2,1517.5,1463.05,1479,1480
2021-02-24,ABB,1494.65,1600,1485.9,1550.15,1570.8
2021-02-25,ABB,1584.8,1590.8,1511.35,1550.35,1537.9
2021-02-26,ABB,1521,1564,1500,1525,1528.15
2021-03-01,ABB,1547,1559.85,1515,1526.4,1525.2
2021-03-02,ABB,1526.4,1549,1509,1521.85,1521
2021-03-03,ABB,1532.85,1550.4,1510,1532.95,1532.7
2021-03-04,ABB,1522,1546.9,1506,1512,1512.8
2021-03-05,ABB,1514.75,1528,1485,1493.9,1488.85
2021-03-08,ABB,1504,1512.55,1476.8,1504.5,1495.5
2021-03-09,ABB,1508,1509.65,1464.5,1468,1476.45
2021-03-10,ABB,1478,1523.9,1451,1467.95,1466.25
2021-03-12,ABB,1473,1481.25,1455,1470.05,1471.1
2021-03-15,ABB,1471,1476.9,1440.2,1445.95,1447.65
2021-03-16,ABB,1454,1469,1425.95,1441,1442.05
2021-03-17,ABB,1447.9,1450,1425.2,1447.9,1439.75
2021-03-18,ABB,1454.85,1467.55,1416.15,1425,1427.3
2021-03-19,ABB,1422,1433,1333,1394.95,1413.85
2021-03-22,ABB,1414,1428,1385,1390.8,1388.6
2021-03-23,ABB,1395.8,1420,1385,1396,1397.35
2021-03-24,ABB,1390,1401.85,1368,1380,1375.6
2021-03-25,ABB,1375,1405,1330.2,1393,1391.65
2021-03-26,ABB,1398,1498.3,1375.3,1452,1453.55
2021-03-30,ABB,1453.55,1481.55,1431.05,1438.1,1439.35
2021-03-31,ABB,1437.65,1438,1397,1398,1410.05
2021-04-01,ABB,1413.8,1424.7,1391.1,1398,1397.5
2021-04-05,ABB,1390,1400,1365.15,1379.8,1382.2
2021-04-06,ABB,1384,1395.55,1360,1372.1,1374.45
2021-04-07,ABB,1375,1389.9,1366.75,1371.45,1375
2021-04-08,ABB,1377.85,1405.5,1375.2,1397.95,1396.3
2021-04-09,ABB,1396.35,1407.95,1375,1379.2,1380.4
2021-04-12,ABB,1378,1378,1298.55,1302.85,1309.45
2021-04-13,ABB,1315,1335,1305.85,1316.5,1319.6
2021-04-15,ABB,1316.5,1363.95,1309.05,1345.9,1349.45
2021-04-16,ABB,1351.9,1374.95,1345.3,1372,1371.35
2021-04-19,ABB,1357,1412,1314.45,1395,1395.15
2021-04-20,ABB,1395,1418,1381.1,1385,1395.4
2021-04-22,ABB,1395,1400,1368.4,1387,1391.65
2021-04-23,ABB,1387,1393.6,1369,1375,1380.7
2021-04-26,ABB,1381.95,1402.95,1360.1,1366,1369.1
2021-04-27,ABB,1378,1401.9,1375.2,1383,1384.35
2021-04-28,ABB,1408.1,1436.25,1362,1376,1387.9
2021-04-29,ABB,1405,1405,1377,1383.9,1381.3
2021-04-30,ABB,1375,1399.4,1360,1390,1381.25
2021-05-03,ABB,1385.6,1399,1352.05,1389,1392
2021-05-04,ABB,1392,1399.6,1365.1,1368.6,1377.45
2021-05-05,ABB,1378.1,1387.55,1363,1370.25,1370.65
2021-05-06,ABB,1374.7,1385,1374.15,1380.75,1380.6
2021-05-07,ABB,1385,1394.45,1368,1373.85,1371.95
2021-05-10,ABB,1385.1,1397,1367.25,1373.95,1375.35
2021-05-11,ABB,1369,1385,1362.7,1369.8,1368.85
2021-05-12,ABB,1381,1434,1371.1,1409,1401.9
2021-05-14,ABB,1414,1423.95,1378.25,1384.9,1391.8
2021-05-17,ABB,1391,1425,1382,1418,1420.75
2021-05-18,ABB,1410.8,1470,1410.8,1450,1449.85
2021-05-19,ABB,1448,1481.8,1441,1446.25,1450.2
2021-05-20,ABB,1448,1459.8,1416.05,1431.7,1429.25
2021-05-21,ABB,1432,1443.7,1424.75,1431,1433.1
2021-05-24,ABB,1436.25,1483.25,1433.1,1475,1475.7
2021-05-25,ABB,1481,1517.35,1466,1493.9,1495.65
2021-05-26,ABB,1490.5,1519.4,1482.95,1501,1501.35
2021-05-27,ABB,1505,1600,1492.5,1575,1579.25
2021-05-28,ABB,1565,1600,1523.1,1585,1588.75
2021-05-31,ABB,1600,1730,1600,1649,1668.85
2021-06-01,ABB,1685,1754,1651,1696,1693.25
2021-06-02,ABB,1698,1717,1668,1701,1700.55
2021-06-03,ABB,1711,1717.45,1681,1689.95,1691.95
2021-06-04,ABB,1691.95,1698.95,1640,1645.95,1650.5
2021-06-07,ABB,1659,1698,1637,1685,1685.65
2021-06-08,ABB,1687.05,1697.6,1661.1,1682,1680.25
2021-06-09,ABB,1692.15,1721,1665,1684.9,1674.85
2021-06-10,ABB,1680,1690,1660,1676.65,1671.35
2021-06-11,ABB,1684.1,1750.05,1645,1650,1648.55
2021-06-14,ABB,1659,1672.3,1601,1660,1660.6
2021-06-15,ABB,1660.6,1698,1660.55,1690,1693.95
2021-06-16,ABB,1699,1728,1673.75,1720,1720.3
2021-06-17,ABB,1725.25,1776.7,1692.3,1721.5,1716.5
2021-06-18,ABB,1730,1753,1656.95,1744,1743.45
2021-06-21,ABB,1700,1738,1695.05,1724,1719.4
2021-06-22,ABB,1728,1767.65,1728,1740,1739.25
2021-06-23,ABB,1752,1851.1,1738.25,1809.9,1806.55
2021-06-24,ABB,1828,1830,1800,1810,1809.45
2021-06-25,ABB,1823.6,1839.9,1794.05,1829.05,1824.05
2021-06-28,ABB,1839.05,1857,1792.15,1800,1809.8
2021-06-29,ABB,1804.95,1815.5,1771,1786.25,1788.85
2021-06-30,ABB,1801,1857,1801,1810,1808.2
2021-07-01,ABB,1816,1826.95,1778.8,1796.35,1793.7
2021-07-02,ABB,1810,1830,1766.65,1780.55,1787.15
2021-07-05,ABB,1794.9,1801,1761,1771.05,1773.75
2021-07-06,ABB,1771.05,1784.25,1746.05,1750,1757.75
2021-07-07,ABB,1753,1757.7,1730.2,1740,1742.1
2021-07-08,ABB,1742.1,1750.5,1695.1,1710,1703.25
2021-07-09,ABB,1711.2,1725,1683.5,1705.6,1713.45
2021-07-12,ABB,1718.45,1736,1701.45,1721.05,1725.95
2021-07-13,ABB,1730,1804,1715.55,1803,1787.05
2021-07-14,ABB,1804,1840,1785.55,1797.3,1805.5
2021-07-15,ABB,1806.5,1818.5,1770,1778.5,1779.05
2021-07-16,ABB,1779,1784,1751.45,1761,1763.2
2020-01-01,Reliance,1518,1527.1,1505.5,1511.8,1509.6
2020-01-02,Reliance,1512,1540.95,1512,1534.1,1535.3
2020-01-03,Reliance,1533,1541.65,1523,1536,1537.15
2020-01-06,Reliance,1520,1527.9,1498,1499.9,1501.5
2020-01-07,Reliance,1519,1534.5,1513.5,1526.95,1524.6
2020-01-08,Reliance,1515,1534.45,1510,1514,1513.15
2020-01-09,Reliance,1538.6,1550,1531.25,1549.5,1548
2020-01-10,Reliance,1551.9,1557.95,1539.65,1546.85,1547.65
2020-01-13,Reliance,1545.05,1558.7,1538.4,1539.85,1543.7
2020-01-14,Reliance,1540,1550,1521.85,1529.1,1529.4
2020-01-15,Reliance,1535.85,1539.9,1518.25,1524.1,1523.85
2020-01-16,Reliance,1529,1543.35,1528,1538.7,1537.9
2020-01-17,Reliance,1553.5,1584.95,1553.2,1581,1581
2020-01-20,Reliance,1609,1609,1526.4,1532.2,1532.35
2020-01-21,Reliance,1528.6,1545.85,1522,1535,1533.9
2020-01-22,Reliance,1544,1546.75,1531.1,1535.25,1533.35
2020-01-23,Reliance,1536.5,1541.95,1520.7,1529.6,1526.85
2020-01-24,Reliance,1527,1536.35,1518.55,1524.05,1521.55
2020-01-27,Reliance,1514.9,1524.45,1505,1508,1506.55
2020-01-28,Reliance,1508.6,1510,1463.6,1473.5,1471.75
2020-01-29,Reliance,1474.05,1494.4,1464.05,1480,1479.85
2020-01-30,Reliance,1479,1479.7,1440,1443,1443.75
2020-01-31,Reliance,1453,1453.25,1407.2,1410,1411.65
2020-02-01,Reliance,1405.3,1426.95,1371.1,1372,1383.35
2020-02-03,Reliance,1369.9,1399.95,1363.05,1386,1385.5
2020-02-04,Reliance,1400,1432.5,1397.8,1427.5,1426.4
2020-02-05,Reliance,1434.9,1452.8,1430.3,1446.3,1448.5
2020-02-06,Reliance,1454.1,1467,1440.1,1455,1457.8
2020-02-07,Reliance,1451,1452.35,1428.3,1432,1433.65
2020-02-10,Reliance,1428,1445.5,1410.45,1442.2,1435.6
2020-02-11,Reliance,1447.4,1466.2,1445.05,1454.5,1452.75
2020-02-12,Reliance,1456.15,1474.85,1455,1473.15,1470.3
2020-02-13,Reliance,1477.75,1477.75,1462.6,1470.45,1474.15
2020-02-14,Reliance,1477.25,1501.45,1453.1,1485.85,1487.6
2020-02-17,Reliance,1489,1506.15,1474.3,1478.5,1478.25
2020-02-18,Reliance,1475.9,1475.9,1457.4,1466.9,1467.4
2020-02-19,Reliance,1479.35,1506.45,1475.1,1504.5,1503.8
2020-02-20,Reliance,1497,1508,1483.8,1487,1485.95
2020-02-24,Reliance,1469.75,1477,1439.55,1447.1,1444.95
2020-02-25,Reliance,1451.4,1451.4,1410,1420,1416.4
2020-02-26,Reliance,1410,1412.35,1387.35,1389.5,1392
2020-02-27,Reliance,1388,1393.8,1369,1380.45,1386.25
2020-02-28,Reliance,1354.9,1357,1325,1327,1328.65
2020-03-02,Reliance,1355.1,1369,1301.1,1322,1316.15
2020-03-03,Reliance,1329.7,1353.9,1322,1346.35,1342.85
2020-03-04,Reliance,1352,1353.8,1307.9,1349,1339.7
2020-03-05,Reliance,1352.2,1357.95,1306,1309.9,1311.15
2020-03-06,Reliance,1270,1288.15,1241.1,1269.85,1271
2020-03-09,Reliance,1240.05,1241,1095,1104.5,1114.15
2020-03-11,Reliance,1108,1178.45,1108,1152,1153.55
2020-03-12,Reliance,1085,1101,1048.7,1059,1063
2020-03-13,Reliance,998,1140,942.4,1116.95,1105.3
2020-03-16,Reliance,1060.55,1079.7,1005,1012.2,1015.7
2020-03-17,Reliance,1047.25,1060,1003.2,1011.5,1008
2020-03-18,Reliance,1025.3,1035.9,961,976.45,968.5
2020-03-19,Reliance,920.1,967,892.2,917.7,917.7
2020-03-20,Reliance,939.5,1034.9,930,1028,1017.95
2020-03-23,Reliance,916.2,950,875.65,891,884.05
2020-03-24,Reliance,930,970,895.8,946,943.4
2020-03-25,Reliance,963.8,1151.55,963.25,1074,1082.25
2020-03-26,Reliance,1095.8,1116.9,1042.35,1069,1066.2
2020-03-27,Reliance,1095,1107.3,1046.2,1067.95,1065.6
